\bm{\mathcal{b}},bold math calligraphic b, vector field, set notation symbol, basis vector, bold symbol
\bm{\mathcal{c}},Cauchy stress tensor, characteristic polynomial, critical point, curl operator, covariance matrix
\bm{\mathcal{d}},determinant, differential operator, differential form, density function
\bm{\mathcal{e}},error,expectation,energy,entity,function
\bm{\mathcal{f}},vector field, function, force, magnetic field, flux
\bm{\mathcal{g}},group,gravity,geodesic,general relativity, gauge transformation
\bm{\mathcal{h}},Hamiltonian, Hubble parameter, magnetic field strength, helicity, magnetic field
\bm{\mathcal{i}},imaginary unit,ideal current,i-th component,imaginary number,ideal gas constant
\bm{\mathcal{j}},Jacobian matrix, imaginary unit, material derivative, imaginary axis, Jacobian determinant
\bm{\mathcal{k}},vector field,quantum number,inverse temperature,magnetic susceptibility,susceptibility
\bm{\mathcal{l}},vector subscript, density operator, lagrangian function, likelihood function, regularized loss
\bm{\mathcal{m}},momentum,magnetic quantum number,mass,magnitude,material properties
\bm{\mathcal{n}},normal vector, sample size, statistics, unit normal vector, normal distribution
\bm{\mathcal{o}},small-oh notation,big-oh notation,order of a group,order of a subgroup,order of an element
\bm{\mathcal{p}},probability density function,joint probability,momentum operator,pressure tensor,principal component
\bm{\mathcal{q}},quantum state,vector field,metric tensor,functional analysis,quantum observable
\bm{\mathcal{r}},position vector,disturbance vector,moment arm,vector field
\bm{\mathcal{s}},stress tensor,scalar field,symmetry group,spin operator,spin operator
\bm{\mathcal{t}},equation,theorem,trace,tensor,temperature
\bm{\mathcal{u}},vector field,velocity field,control input,unknown function,unit vector
\bm{\mathcal{v}},vector field,velocity,viscosity,velocity field,random variable
\bm{\mathcal{w}},weighted vector, optimization variable, weight tensor, dual variable
\bm{\mathcal{x}},vector,variable,function,optimization,constraint
\bm{\mathcal{y}},vector,coordinate,estimator,function,model
\bm{\mathcal{z}},complex number, random variable, function, set, vector
\mathfrak{A},group,algebra,automorphism,abelian,affine
\mathfrak{B},basis,Boolean algebra,Bell inequalities,Bertini's theorem,Bohr radius
\mathfrak{D},derivative operator,differential equation,determinant,Dirac delta function,effective dimension
\mathfrak{E},electric field, energy, elliptic curve, Euler's number, expectation value
\mathfrak{F},Fourier transform, Fano factor, Fourier series, Fr\'echet derivative, Fock space
\mathfrak{G},group,graph,field,generator,graded
\mathfrak{J},Jacobi integral,Jacobian matrix,Jacobi identity,Jacobian determinant,Julia set
\mathfrak{K},kernel,conjugation class,curvature tensor,commutator,cone of vectors
\mathfrak{L},Lagrangian, Lie group, Laplace transform, Lie algebra, Legendre transformation
\mathfrak{M},model, manifold, matrix, measurable space, module
\mathfrak{N},natural numbers,normal subgroup,nilpotent matrix,normal distribution,function space
\mathfrak{O},order,symmetry group,value of integrals,operators,thermodynamic potentials
\mathfrak{P},probability, permutation matrix, prime ideal, Power set, statistical parameter
\mathfrak{Q},quaternion,quadratic field quotient group,quandle,quasigroup
\mathfrak{S},symmetric group,vector space,Algebraic number field,symmetry group,Sobol sequence
\mathfrak{T},transformation matrix, topological space, trace operator, turbulence model
\mathfrak{U},unitary matrix,utility function,uniform distribution,vector field,the set of unitary matrices
\mathfrak{V},velocity,vector field,volume,variety,vector space
\mathfrak{W},weight,Warburg,Weighted Pix2Pix,weight initialization,Hera,Wasserstein distance
\mathfrak{X},group,symmetry class,structure,polynomial,vector
\mathfrak{Y},basis,images of basis elements,plane sections,curvature tensor,vector field
\mathfrak{a},ideal,algebraic number field,quadratic form,principal ideal.
\mathfrak{b},Lie algebra, base field, Bernstein polynomial, biquadratic form, Betti number
\mathfrak{c},complexity,class,cardinality,circle,compact
\mathfrak{d},differential element,differential equation,Dirac's delta function,differential geometry,divergence
\mathfrak{e},energy eigenvalue,extent of a set,ideal,flux density,elliptic modular function
\mathfrak{f},field,filter,finite,frame,formula
\mathfrak{g},Lie algebra,group,generator,Cartan matrix,representation
\mathfrak{h},Lie algebra, Cartan subalgebra, weight space, Coxeter number, Weyl group
\mathfrak{i},imaginary unit,Galois group,compact Riemann surface,discriminant,mass function
\mathfrak{j},complex unit,vector index,frequency,imaginary unit,current density
\mathfrak{k},lie algebra,group algebra,commutative algebra,lie group,decorated character
\mathfrak{l},Lie algebra, Lagrange multiplier, likelihood function, lattice, Lipschitz constant
\mathfrak{m},maximal ideal, moduli space, manifold, module, meridian
\mathfrak{n},nilpotent group,finite group,polynomial ring,unit ideal,algebraic number
\mathfrak{o},Lie algebra, Cartan subalgebra, root system, root space, root vector
\mathfrak{p},prime ideal, probability measure,pitch,probability space,probability distribution
\mathfrak{q},quadratic residue, quaternion, quadrature, QCD
\mathfrak{r},vector,ring,reference,rotation,radian
\mathfrak{s},Lie algebra,semisimple Lie group,Lie superalgebra,algebra homomorphism,vector fields
\mathfrak{t},Lie algebra,trace,torque,tensornetwork,twisted theory
\mathfrak{u},unitary group,elementary divisors,trace formula,borel subgroup,upper triangular matrix
\mathfrak{v},vector,velocity,variable,velocity vector,unit vector
\mathfrak{w},vector,wavenumber,vector space,weight,weak solution
\mathfrak{x},Lie algebra, group algebra, root system, coxeter group, weyl group
\mathfrak{y},vector field,analytic function,group action,tangent space,source term
\mathfrak{z},quantum number,partition function,center of mass coordinate,phase space volume,probability amplitude
\mathbb{A},matrix,algebra,analysis,abelian group,approximation
\mathbb{B},Boolean algebra, blackboard bold , range, base, binary
\mathbb{D},domain, disk, unit disk, data set, differentiation
\mathbb{E},expected value, 
probability space, 
mathematical expectation, 
empirical mean, 
average value
\mathbb{F},field,finite field,algebraic field,prime field,field extension
\mathbb{G},group,graph,Gaussian distribution,Green's function,gradient
\mathbb{I},imaginary unit,indicator function,identity matrix,ideal gas law,inverse matrix
\mathbb{J},Hamiltonian, Jacobian, Jackknife, Joule, Jet
\mathbb{K},field,algebra,complex number,vector space,tensor
\mathbb{L},Lagrangian, L-function, Legendre polynomial, Lyapunov exponent
\mathbb{M},matrix,manifold,momentum,magnetization,mass
\mathbb{O},orthogonal,operations,order,observations,operator
\mathbb{S},surface,space,set,sphere,span
\mathbb{T},topology,T-tensor,probability of target event,the set of integers,module categories
\mathbb{U},unitary matrix, unit interval, universe, unity, universal set
\mathbb{V},vector space,vector,variable,function,vertex
\mathbb{W},Weyl algebra,Weierstrass function,W-algebra,Wigner function,Wallis product
\mathbb{X},field of complex numbers,real coordinate space,matrix space,vector space,vector space dimensions
\mathbb{Y},vector space, set of rational numbers, set of natural numbers, set of real numbers, set of integers
\mathbb{a},algebra,abelian group,alternating group,application of group theory,adjacency matrix
\mathbb{b},blackbody radiation law, Planck's law, frequency, polariton, nanoparticle
\mathbb{c},complex numbers,constant of integration,critical point,center of mass,center of symmetry
\mathbb{d},determinant,differential operator,dimensions,discrete data,vector derivative
\mathbb{e},Euler's number, complex unit,vector space dimension, expected value, error term
\mathbb{f},field, function, fourier transform, frame, filtration
\mathbb{g},group, Lie algebra, generator, gauge field, gravitational constant
\mathbb{h},Hilbert space,homothety,Hamiltonian operator,heat transfer coefficient,hyperbolic functions
\mathbb{i},imaginary unit, set of integers, imaginary number, imaginary part, imaginary axis
\mathbb{j},imaginary unit,complex number,imaginary part,vector field,angular momentum,natural number
\mathbb{k},field,constant,complex number,vector space,dimensions
\mathbb{l},line,vector space,likelihood function,log-likelihood,log-likelihood ratio
\mathbb{m},magnetic moment,millimeter,mass,meter,matrix
\mathbb{n},natural number, integer, positive integer, real number, non-negative integer
\mathbb{o},element of,order,residue,open set.coefficient
\mathbb{p},probability,prime number,projective space,polynomial,period
\mathbb{q},quadratic equation,quaternion field,quadric surface,quarternion algebra
\mathbb{r},real numbers, rational numbers, root mean square, radius, reflection,
\mathbb{s},symmetry, set, subgroup, semigroup, sphere
\mathbb{t},torque,tangent,temperature,time,thickness
\mathbb{u},unit vector,uniform distribution,function,field symbol,vector space
\mathbb{v},velocity,vector,variable,volume,voltage
\mathbb{w},weight,function,work,wavelength,complex number
\mathbb{x},real numbers,vector space,space,field of real numbers,independent variable
\mathbb{y},vector,matrix,tensor,function,variable
\mathbb{z},integer,number set,integers,complex plane,integer solutions
\bm{\mathfrak{A}},algebra,antiderivative,acceleration,Abelian group,algebraic structure
\bm{\mathfrak{B}},basis,black hole,bound,beam,branch
\bm{\mathfrak{C}},curl,curvature tensor,Calabi-Yau manifold,Chern class,complexification
\bm{\mathfrak{D}},derivative, operator, differential equation, material derivative, deformation tensor
\bm{\mathfrak{E}},energy,eigenvalue,group of units,external field,error term
\bm{\mathfrak{F}},Fourier transform,black hole mass,field strength tensor,finite difference method,Fréchet derivative
\bm{\mathfrak{G}},group,gauge group,gravitational constant,Gaussian curvature,gravitational wave
\bm{\mathfrak{H}},Hamiltonian,helicity,Hermitian,heat transfer,holonomy
\bm{\mathfrak{I}},complex number, current density, moment of inertia, unit interval, mean current
\bm{\mathfrak{J}},determinant,quantum action,quantum algebra,reduced action,grand actions
\bm{\mathfrak{K}},Liouville constant, Cartan subalgebra, Kauffman invariant, canonical Kauffman polynomial, Killing vector
